"metric","dataset","method","seed","value"
"Accuracy","CF*","CrowdFM","46","86.0"
"Accuracy","Face","CrowdFM","42","63.6986"
"Accuracy","Face","CrowdFM","43","64.0411"
"Accuracy","Face","CrowdFM","44","64.5548"
"Accuracy","Face","CrowdFM","45","63.6986"
"Accuracy","Face","CrowdFM","46","64.726"
"Accuracy","LabelMe","CrowdFM","42","76.5"
"Accuracy","LabelMe","CrowdFM","43","77.0"
"Accuracy","LabelMe","CrowdFM","44","76.6"
"Accuracy","LabelMe","CrowdFM","45","77.9"
"Accuracy","LabelMe","CrowdFM","46","77.6"
"Accuracy","MS","CrowdFM","42","79.4286"
"Accuracy","MS","CrowdFM","43","80.4286"
"Accuracy","MS","CrowdFM","44","79.5714"
"Accuracy","MS","CrowdFM","45","79.8571"
"Accuracy","MS","CrowdFM","46","79.7143"
"Accuracy","Possent","CrowdFM","42","94.7"
"Accuracy","Possent","CrowdFM","43","95.3"
"Accuracy","Possent","CrowdFM","44","94.7"
"Accuracy","Possent","CrowdFM","45","95.2"
"Accuracy","Possent","CrowdFM","46","95.5"
"Accuracy","RTE","CrowdFM","42","90.75"
"Accuracy","RTE","CrowdFM","43","92.25"
"Accuracy","RTE","CrowdFM","44","91.5"
"Accuracy","RTE","CrowdFM","45","91.25"
"Accuracy","RTE","CrowdFM","46","91.875"
"Accuracy","Temp","CrowdFM","42","94.1558"
"Accuracy","Temp","CrowdFM","43","94.3723"
"Accuracy","Temp","CrowdFM","44","93.9394"
"Accuracy","Temp","CrowdFM","45","94.3723"
"Accuracy","Temp","CrowdFM","46","94.1558"
"Accuracy","Bird","DS","42","87.963"
"Accuracy","Bird","DS","43","87.963"
"Accuracy","Bird","DS","44","87.963"
"Accuracy","Bird","DS","45","87.963"
"Accuracy","Bird","DS","46","87.963"
"Accuracy","CF","DS","42","79.6667"
"Accuracy","CF","DS","43","79.6667"
"Accuracy","CF","DS","44","79.6667"
"Accuracy","CF","DS","45","79.6667"
"Accuracy","CF","DS","46","79.6667"
"Accuracy","CF*","DS","42","85.6667"
"Accuracy","CF*","DS","43","85.6667"
"Accuracy","CF*","DS","44","85.6667"
"Accuracy","CF*","DS","45","85.6667"
"Accuracy","CF*","DS","46","85.6667"
"Accuracy","Face","DS","42","64.0411"
"Accuracy","Face","DS","43","64.0411"
"Accuracy","Face","DS","44","64.0411"
"Accuracy","Face","DS","45","64.0411"
"Accuracy","Face","DS","46","64.0411"
"Accuracy","LabelMe","DS","42","79.4"
"Accuracy","LabelMe","DS","43","79.4"
"Accuracy","LabelMe","DS","44","79.4"
"Accuracy","LabelMe","DS","45","79.4"
"Accuracy","LabelMe","DS","46","79.4"
"Accuracy","MS","DS","42","76.5714"
"Accuracy","MS","DS","43","76.5714"
"Accuracy","MS","DS","44","76.5714"
"Accuracy","MS","DS","45","76.5714"
"Accuracy","MS","DS","46","76.5714"
"Accuracy","Possent","DS","42","96.0"
"Accuracy","Possent","DS","43","96.0"
"Accuracy","Possent","DS","44","96.0"
"Accuracy","Possent","DS","45","96.0"
"Accuracy","Possent","DS","46","96.0"
"Accuracy","RTE","DS","42","92.75"
"Accuracy","RTE","DS","43","92.75"
"Accuracy","RTE","DS","44","92.75"
"Accuracy","RTE","DS","45","92.75"
"Accuracy","RTE","DS","46","92.75"
"Accuracy","Temp","DS","42","94.1558"
"Accuracy","Temp","DS","43","94.1558"
"Accuracy","Temp","DS","44","94.1558"
"Accuracy","Temp","DS","45","94.1558"
"Accuracy","Temp","DS","46","94.1558"
"Accuracy","Bird","EBCC","42","86.1111"
"Accuracy","Bird","EBCC","43","86.1111"
"Accuracy","Bird","EBCC","44","87.963"
"Accuracy","Bird","EBCC","45","88.8889"
"Accuracy","Bird","EBCC","46","88.8889"
"Accuracy","CF","EBCC","42","87.6667"
"Accuracy","CF","EBCC","43","87.3333"
"Accuracy","CF","EBCC","44","88.0"
"Accuracy","CF","EBCC","45","88.3333"
"Accuracy","CF","EBCC","46","87.3333"
"Accuracy","CF*","EBCC","42","86.0"
"Accuracy","CF*","EBCC","43","86.0"
"Accuracy","CF*","EBCC","44","86.0"
"Accuracy","CF*","EBCC","45","85.6667"
"Accuracy","CF*","EBCC","46","85.6667"
"Accuracy","Face","EBCC","42","62.6712"
"Accuracy","Face","EBCC","43","62.8425"
"Accuracy","Face","EBCC","44","62.5"
"Accuracy","Face","EBCC","45","63.3562"
"Accuracy","Face","EBCC","46","62.1575"
"Accuracy","LabelMe","EBCC","42","78.6"
"Accuracy","LabelMe","EBCC","43","78.6"
"Accuracy","LabelMe","EBCC","44","78.6"
"Accuracy","LabelMe","EBCC","45","78.6"
"Accuracy","LabelMe","EBCC","46","78.6"
"Accuracy","MS","EBCC","42","78.7143"
"Accuracy","MS","EBCC","43","79.0"
"Accuracy","MS","EBCC","44","78.7143"
"Accuracy","MS","EBCC","45","78.8571"
"Accuracy","MS","EBCC","46","78.7143"
"Accuracy","Possent","EBCC","42","96.0"
"Accuracy","Possent","EBCC","43","96.0"
"Accuracy","Possent","EBCC","44","96.0"
"Accuracy","Possent","EBCC","45","96.0"
"Accuracy","Possent","EBCC","46","96.0"
"Accuracy","RTE","EBCC","42","93.125"
"Accuracy","RTE","EBCC","43","93.125"
"Accuracy","RTE","EBCC","44","93.125"
"Accuracy","RTE","EBCC","45","92.5"
"Accuracy","RTE","EBCC","46","92.5"
"Accuracy","Temp","EBCC","42","94.1558"
"Accuracy","Temp","EBCC","43","94.1558"
"Accuracy","Temp","EBCC","44","94.1558"
"Accuracy","Temp","EBCC","45","94.1558"
"Accuracy","Temp","EBCC","46","94.1558"
"Accuracy","Bird","GCRN","42","87.037037037037"
"Accuracy","Bird","GCRN","43","87.962962962963"
"Accuracy","Bird","GCRN","44","87.962962962963"
"Accuracy","Bird","GCRN","45","89.8148148148148"
"Accuracy","Bird","GCRN","46","89.8148148148148"
"Accuracy","CF","GCRN","42","89.3333333333333"
"Accuracy","CF","GCRN","43","90.0"
"Accuracy","CF","GCRN","44","89.3333333333333"
"Accuracy","CF","GCRN","45","89.3333333333333"
"Accuracy","CF","GCRN","46","90.0"
"Accuracy","CF*","GCRN","42","86.6666666666667"
"Accuracy","CF*","GCRN","43","86.3333333333333"
"Accuracy","CF*","GCRN","44","86.3333333333333"
"Accuracy","CF*","GCRN","45","86.3333333333333"
"Accuracy","CF*","GCRN","46","86.3333333333333"
"Accuracy","Face","GCRN","42","66.2671232876712"
"Accuracy","Face","GCRN","43","66.7808219178082"
"Accuracy","Face","GCRN","44","67.1232876712329"
"Accuracy","Face","GCRN","45","67.4657534246575"
"Accuracy","Face","GCRN","46","67.4657534246575"
"Accuracy","LabelMe","GCRN","42","78.7"
"Accuracy","LabelMe","GCRN","43","78.0"
"Accuracy","LabelMe","GCRN","44","77.1"
"Accuracy","LabelMe","GCRN","45","79.7"
"Accuracy","LabelMe","GCRN","46","79.0"
"Accuracy","MS","GCRN","42","77.8571428571429"
"Accuracy","MS","GCRN","43","76.7142857142857"
"Accuracy","MS","GCRN","44","76.1428571428571"
"Accuracy","MS","GCRN","45","78.2857142857143"
"Accuracy","MS","GCRN","46","77.7142857142857"
"Accuracy","Possent","GCRN","42","96.4"
"Accuracy","Possent","GCRN","43","96.5"
"Accuracy","Possent","GCRN","44","96.0"
"Accuracy","Possent","GCRN","45","96.5"
"Accuracy","Possent","GCRN","46","95.9"
"Accuracy","RTE","GCRN","42","93.0"
"Accuracy","RTE","GCRN","43","92.875"
"Accuracy","RTE","GCRN","44","93.75"
"Accuracy","RTE","GCRN","45","93.0"
"Accuracy","RTE","GCRN","46","93.25"
"Accuracy","Temp","GCRN","42","94.5887445887446"
"Accuracy","Temp","GCRN","43","94.1558441558442"
"Accuracy","Temp","GCRN","44","94.8051948051948"
"Accuracy","Temp","GCRN","45","94.8051948051948"
"Accuracy","Temp","GCRN","46","94.1558441558442"
"Accuracy","Bird","GLAD","42","76.8519"
"Accuracy","Bird","GLAD","43","76.8519"
"Accuracy","Bird","GLAD","44","76.8519"
"Accuracy","Bird","GLAD","45","76.8519"
"Accuracy","Bird","GLAD","46","76.8519"
"Accuracy","CF","GLAD","42","88.0"
"Accuracy","CF","GLAD","43","88.0"
"Accuracy","CF","GLAD","44","88.0"
"Accuracy","CF","GLAD","45","88.0"
"Accuracy","CF","GLAD","46","88.0"
"Accuracy","CF*","GLAD","42","85.6667"
"Accuracy","CF*","GLAD","43","85.6667"
"Accuracy","CF*","GLAD","44","85.6667"
"Accuracy","CF*","GLAD","45","85.6667"
"Accuracy","CF*","GLAD","46","85.6667"
"Accuracy","Face","GLAD","42","63.0137"
"Accuracy","Face","GLAD","43","63.0137"
"Accuracy","Face","GLAD","44","63.0137"
"Accuracy","Face","GLAD","45","63.0137"
"Accuracy","Face","GLAD","46","63.0137"
"Accuracy","LabelMe","GLAD","42","77.1"
"Accuracy","LabelMe","GLAD","43","77.1"
"Accuracy","LabelMe","GLAD","44","77.1"
"Accuracy","LabelMe","GLAD","45","77.1"
"Accuracy","LabelMe","GLAD","46","77.1"
"Accuracy","MS","GLAD","42","78.5714"
"Accuracy","MS","GLAD","43","78.5714"
"Accuracy","MS","GLAD","44","78.5714"
"Accuracy","MS","GLAD","45","78.5714"
"Accuracy","MS","GLAD","46","78.5714"
"Accuracy","Possent","GLAD","42","95.2"
"Accuracy","Possent","GLAD","43","95.2"
"Accuracy","Possent","GLAD","44","95.2"
"Accuracy","Possent","GLAD","45","95.2"
"Accuracy","Possent","GLAD","46","95.2"
"Accuracy","RTE","GLAD","42","92.5"
"Accuracy","RTE","GLAD","43","92.5"
"Accuracy","RTE","GLAD","44","92.5"
"Accuracy","RTE","GLAD","45","92.5"
"Accuracy","RTE","GLAD","46","92.5"
"Accuracy","Temp","GLAD","42","93.29"
"Accuracy","Temp","GLAD","43","93.29"
"Accuracy","Temp","GLAD","44","93.29"
"Accuracy","Temp","GLAD","45","93.29"
"Accuracy","Temp","GLAD","46","93.29"
"Accuracy","Bird","GOVERN","42","80.5556"
"Accuracy","Bird","GOVERN","43","88.8889"
"Accuracy","Bird","GOVERN","44","82.4074"
"Accuracy","Bird","GOVERN","45","85.1852"
"Accuracy","Bird","GOVERN","46","87.037"
"Accuracy","CF","GOVERN","42","90.3333"
"Accuracy","CF","GOVERN","43","89.6667"
"Accuracy","CF","GOVERN","44","89.0"
"Accuracy","CF","GOVERN","45","89.6667"
"Accuracy","CF","GOVERN","46","91.0"
"Accuracy","CF*","GOVERN","42","85.0"
"Accuracy","CF*","GOVERN","43","85.0"
"Accuracy","CF*","GOVERN","44","85.0"
"Accuracy","CF*","GOVERN","45","85.3333"
"Accuracy","CF*","GOVERN","46","85.3333"
"Accuracy","Face","GOVERN","42","66.7808"
"Accuracy","Face","GOVERN","43","64.5548"
"Accuracy","Face","GOVERN","44","65.5822"
"Accuracy","Face","GOVERN","45","66.7808"
"Accuracy","Face","GOVERN","46","66.9521"
"Accuracy","LabelMe","GOVERN","42","78.6"
"Accuracy","LabelMe","GOVERN","43","78.5"
"Accuracy","LabelMe","GOVERN","44","77.4"
"Accuracy","LabelMe","GOVERN","45","77.9"
"Accuracy","LabelMe","GOVERN","46","77.1"
"Accuracy","MS","GOVERN","42","78.0"
"Accuracy","MS","GOVERN","43","78.4286"
"Accuracy","MS","GOVERN","44","78.0"
"Accuracy","MS","GOVERN","45","76.0"
"Accuracy","MS","GOVERN","46","71.7143"
"Accuracy","Possent","GOVERN","42","96.0"
"Accuracy","Possent","GOVERN","43","95.5"
"Accuracy","Possent","GOVERN","44","95.8"
"Accuracy","Possent","GOVERN","45","95.8"
"Accuracy","Possent","GOVERN","46","96.0"
"Accuracy","RTE","GOVERN","42","93.375"
"Accuracy","RTE","GOVERN","43","92.625"
"Accuracy","RTE","GOVERN","44","93.25"
"Accuracy","RTE","GOVERN","45","93.0"
"Accuracy","RTE","GOVERN","46","92.625"
"Accuracy","Temp","GOVERN","42","93.72294372294373"
"Accuracy","Temp","GOVERN","43","94.15584415584416"
"Accuracy","Temp","GOVERN","44","93.93939393939394"
"Accuracy","Temp","GOVERN","45","94.37229437229438"
"Accuracy","Temp","GOVERN","46","94.37229437229438"
"Accuracy","Bird","MV","42","75.9259"
"Accuracy","Bird","MV","43","75.9259"
"Accuracy","Bird","MV","44","75.9259"
"Accuracy","Bird","MV","45","75.9259"
"Accuracy","Bird","MV","46","75.9259"
"Accuracy","CF","MV","42","87.6667"
"Accuracy","CF","MV","43","89.0"
"Accuracy","CF","MV","44","88.6667"
"Accuracy","CF","MV","45","88.3333"
"Accuracy","CF","MV","46","87.6667"
"Accuracy","CF*","MV","42","85.6667"
"Accuracy","CF*","MV","43","85.6667"
"Accuracy","CF*","MV","44","85.6667"
"Accuracy","CF*","MV","45","85.3333"
"Accuracy","CF*","MV","46","85.0"
"Accuracy","Face","MV","42","63.5274"
"Accuracy","Face","MV","43","63.5274"
"Accuracy","Face","MV","44","63.3562"
"Accuracy","Face","MV","45","63.3562"
"Accuracy","Face","MV","46","63.8699"
"Accuracy","LabelMe","MV","42","76.4"
"Accuracy","LabelMe","MV","43","75.7"
"Accuracy","LabelMe","MV","44","76.1"
"Accuracy","LabelMe","MV","45","76.5"
"Accuracy","LabelMe","MV","46","77.2"
"Accuracy","MS","MV","42","72.4286"
"Accuracy","MS","MV","43","71.0"
"Accuracy","MS","MV","44","71.1429"
"Accuracy","MS","MV","45","70.8571"
"Accuracy","MS","MV","46","70.1429"
"Accuracy","Possent","MV","42","93.0"
"Accuracy","Possent","MV","43","93.4"
"Accuracy","Possent","MV","44","93.2"
"Accuracy","Possent","MV","45","93.6"
"Accuracy","Possent","MV","46","93.3"
"Accuracy","RTE","MV","42","89.875"
"Accuracy","RTE","MV","43","90.0"
"Accuracy","RTE","MV","44","91.25"
"Accuracy","RTE","MV","45","89.875"
"Accuracy","RTE","MV","46","89.5"
"Accuracy","Temp","MV","42","93.29"
"Accuracy","Temp","MV","43","93.0736"
"Accuracy","Temp","MV","44","93.29"
"Accuracy","Temp","MV","45","93.7229"
"Accuracy","Temp","MV","46","93.0736"
"Accuracy","Bird","PM","42","78.7037"
"Accuracy","Bird","PM","43","78.7037"
"Accuracy","Bird","PM","44","78.7037"
"Accuracy","Bird","PM","45","78.7037"
"Accuracy","Bird","PM","46","78.7037"
"Accuracy","CF","PM","42","88.3333"
"Accuracy","CF","PM","43","89.0"
"Accuracy","CF","PM","44","89.0"
"Accuracy","CF","PM","45","87.6667"
"Accuracy","CF","PM","46","88.6667"
"Accuracy","CF*","PM","42","85.6667"
"Accuracy","CF*","PM","43","85.6667"
"Accuracy","CF*","PM","44","85.6667"
"Accuracy","CF*","PM","45","85.6667"
"Accuracy","CF*","PM","46","85.6667"
"Accuracy","Face","PM","42","59.7603"
"Accuracy","Face","PM","43","59.7603"
"Accuracy","Face","PM","44","59.7603"
"Accuracy","Face","PM","45","59.7603"
"Accuracy","Face","PM","46","59.7603"
"Accuracy","LabelMe","PM","42","73.8"
"Accuracy","LabelMe","PM","43","73.9"
"Accuracy","LabelMe","PM","44","73.6"
"Accuracy","LabelMe","PM","45","73.3"
"Accuracy","LabelMe","PM","46","74.2"
"Accuracy","MS","PM","42","79.5714"
"Accuracy","MS","PM","43","79.2857"
"Accuracy","MS","PM","44","79.7143"
"Accuracy","MS","PM","45","79.5714"
"Accuracy","MS","PM","46","79.4286"
"Accuracy","Possent","PM","42","95.1"
"Accuracy","Possent","PM","43","95.0"
"Accuracy","Possent","PM","44","95.1"
"Accuracy","Possent","PM","45","95.1"
"Accuracy","Possent","PM","46","95.1"
"Accuracy","RTE","PM","42","92.0"
"Accuracy","RTE","PM","43","92.25"
"Accuracy","RTE","PM","44","92.0"
"Accuracy","RTE","PM","45","92.125"
"Accuracy","RTE","PM","46","92.25"
"Accuracy","Temp","PM","42","94.1558"
"Accuracy","Temp","PM","43","94.3723"
"Accuracy","Temp","PM","44","94.1558"
"Accuracy","Temp","PM","45","94.5887"
"Accuracy","Temp","PM","46","94.1558"
"Accuracy","Bird","TiReMGE","42","55.5556"
"Accuracy","Bird","TiReMGE","43","55.5556"
"Accuracy","Bird","TiReMGE","44","55.5556"
"Accuracy","Bird","TiReMGE","45","55.5556"
"Accuracy","Bird","TiReMGE","46","55.5556"
"Accuracy","CF","TiReMGE","42","88.0"
"Accuracy","CF","TiReMGE","43","88.0"
"Accuracy","CF","TiReMGE","44","88.0"
"Accuracy","CF","TiReMGE","45","87.6667"
"Accuracy","CF","TiReMGE","46","87.6667"
"Accuracy","CF*","TiReMGE","42","84.6667"
"Accuracy","CF*","TiReMGE","43","84.6667"
"Accuracy","CF*","TiReMGE","44","84.6667"
"Accuracy","CF*","TiReMGE","45","84.6667"
"Accuracy","CF*","TiReMGE","46","84.3333"
"Accuracy","Face","TiReMGE","42","63.0137"
"Accuracy","Face","TiReMGE","43","63.3562"
"Accuracy","Face","TiReMGE","44","63.0137"
"Accuracy","Face","TiReMGE","45","63.3562"
"Accuracy","Face","TiReMGE","46","63.1849"
"Accuracy","LabelMe","TiReMGE","42","76.3"
"Accuracy","LabelMe","TiReMGE","43","76.3"
"Accuracy","LabelMe","TiReMGE","44","76.3"
"Accuracy","LabelMe","TiReMGE","45","76.1"
"Accuracy","LabelMe","TiReMGE","46","76.0"
"Accuracy","MS","TiReMGE","42","71.4286"
"Accuracy","MS","TiReMGE","43","71.2857"
"Accuracy","MS","TiReMGE","44","71.2857"
"Accuracy","MS","TiReMGE","45","71.5714"
"Accuracy","MS","TiReMGE","46","71.8571"
"Accuracy","Possent","TiReMGE","42","93.8"
"Accuracy","Possent","TiReMGE","43","93.7"
"Accuracy","Possent","TiReMGE","44","93.9"
"Accuracy","Possent","TiReMGE","45","93.7"
"Accuracy","Possent","TiReMGE","46","93.6"
"Accuracy","RTE","TiReMGE","42","91.625"
"Accuracy","RTE","TiReMGE","43","91.625"
"Accuracy","RTE","TiReMGE","44","91.625"
"Accuracy","RTE","TiReMGE","45","87.5"
"Accuracy","RTE","TiReMGE","46","91.625"
"Accuracy","Temp","TiReMGE","42","93.9394"
"Accuracy","Temp","TiReMGE","43","93.9394"
"Accuracy","Temp","TiReMGE","44","93.9394"
"Accuracy","Temp","TiReMGE","45","93.9394"
"Accuracy","Temp","TiReMGE","46","93.9394"
"Macro-F1","Bird","BWA","42","73.609"
"Macro-F1","Bird","BWA","43","73.609"
"Macro-F1","Bird","BWA","44","73.609"
"Macro-F1","Bird","BWA","45","73.609"
"Macro-F1","Bird","BWA","46","73.609"
"Macro-F1","CF","BWA","42","79.364"
"Macro-F1","CF","BWA","43","79.364"
"Macro-F1","CF","BWA","44","79.364"
"Macro-F1","CF","BWA","45","79.364"
"Macro-F1","CF","BWA","46","79.364"
"Macro-F1","CF*","BWA","42","69.7518"
"Macro-F1","CF*","BWA","43","69.7518"
"Macro-F1","CF*","BWA","44","69.7518"
"Macro-F1","CF*","BWA","45","69.7518"
"Macro-F1","CF*","BWA","46","69.7518"
"Macro-F1","Face","BWA","42","59.4687"
"Macro-F1","Face","BWA","43","59.4687"
"Macro-F1","Face","BWA","44","59.4687"
"Macro-F1","Face","BWA","45","59.4687"
"Macro-F1","Face","BWA","46","59.4687"
"Macro-F1","LabelMe","BWA","42","76.8413"
"Macro-F1","LabelMe","BWA","43","76.8413"
"Macro-F1","LabelMe","BWA","44","76.8413"
"Macro-F1","LabelMe","BWA","45","76.8413"
"Macro-F1","LabelMe","BWA","46","76.8413"
"Macro-F1","MS","BWA","42","78.9767"
"Macro-F1","MS","BWA","43","78.9767"
"Macro-F1","MS","BWA","44","78.9767"
"Macro-F1","MS","BWA","45","78.9767"
"Macro-F1","MS","BWA","46","78.9767"
"Macro-F1","Possent","BWA","42","95.5672"
"Macro-F1","Possent","BWA","43","95.5672"
"Macro-F1","Possent","BWA","44","95.5672"
"Macro-F1","Possent","BWA","45","95.5672"
"Macro-F1","Possent","BWA","46","95.5672"
"Macro-F1","RTE","BWA","42","92.7498"
"Macro-F1","RTE","BWA","43","92.7498"
"Macro-F1","RTE","BWA","44","92.7498"
"Macro-F1","RTE","BWA","45","92.7498"
"Macro-F1","RTE","BWA","46","92.7498"
"Macro-F1","Temp","BWA","42","93.8616"
"Macro-F1","Temp","BWA","43","93.8616"
"Macro-F1","Temp","BWA","44","93.8616"
"Macro-F1","Temp","BWA","45","93.8616"
"Macro-F1","Temp","BWA","46","93.8616"
"Macro-F1","Bird","CrowdFM","42","79.2593"
"Macro-F1","Bird","CrowdFM","43","79.4547"
"Macro-F1","Bird","CrowdFM","44","76.1765"
"Macro-F1","Bird","CrowdFM","45","77.0489"
"Macro-F1","Bird","CrowdFM","46","79.6318"
"Macro-F1","CF","CrowdFM","42","76.9426"
"Macro-F1","CF","CrowdFM","43","78.5287"
"Macro-F1","CF","CrowdFM","44","75.9531"
"Macro-F1","CF","CrowdFM","45","79.5705"
"Macro-F1","CF","CrowdFM","46","76.1637"
"Macro-F1","CF*","CrowdFM","42","69.1394"
"Macro-F1","CF*","CrowdFM","43","73.7259"
"Macro-F1","CF*","CrowdFM","44","69.8117"
"Macro-F1","CF*","CrowdFM","45","69.5056"
"Macro-F1","CF*","CrowdFM","46","73.2904"
"Macro-F1","Face","CrowdFM","42","61.6444"
"Macro-F1","Face","CrowdFM","43","62.0846"
"Macro-F1","Face","CrowdFM","44","63.252"
"Macro-F1","Face","CrowdFM","45","61.8963"
"Macro-F1","Face","CrowdFM","46","62.896"
"Macro-F1","LabelMe","CrowdFM","42","76.0614"
"Macro-F1","LabelMe","CrowdFM","43","76.1419"
"Macro-F1","LabelMe","CrowdFM","44","76.0106"
"Macro-F1","LabelMe","CrowdFM","45","77.3044"
"Macro-F1","LabelMe","CrowdFM","46","77.1828"
"Macro-F1","MS","CrowdFM","42","79.8435"
"Macro-F1","MS","CrowdFM","43","80.7726"
"Macro-F1","MS","CrowdFM","44","79.9386"
"Macro-F1","MS","CrowdFM","45","80.2119"
"Macro-F1","MS","CrowdFM","46","80.1607"
"Macro-F1","Possent","CrowdFM","42","94.6731"
"Macro-F1","Possent","CrowdFM","43","95.2674"
"Macro-F1","Possent","CrowdFM","44","94.6761"
"Macro-F1","Possent","CrowdFM","45","95.1675"
"Macro-F1","Possent","CrowdFM","46","95.4717"
"Macro-F1","RTE","CrowdFM","42","90.7333"
"Macro-F1","RTE","CrowdFM","43","92.2461"
"Macro-F1","RTE","CrowdFM","44","91.491"
"Macro-F1","RTE","CrowdFM","45","91.236"
"Macro-F1","RTE","CrowdFM","46","91.8713"
"Macro-F1","Temp","CrowdFM","42","94.0894"
"Macro-F1","Temp","CrowdFM","43","94.3109"
"Macro-F1","Temp","CrowdFM","44","93.8616"
"Macro-F1","Temp","CrowdFM","45","94.3056"
"Macro-F1","Temp","CrowdFM","46","94.0999"
"Macro-F1","Bird","DS","42","87.6571"
"Macro-F1","Bird","DS","43","87.6571"
"Macro-F1","Bird","DS","44","87.6571"
"Macro-F1","Bird","DS","45","87.6571"
"Macro-F1","Bird","DS","46","87.6571"
"Macro-F1","CF","DS","42","71.5095"
"Macro-F1","CF","DS","43","71.5095"
"Macro-F1","CF","DS","44","71.5095"
"Macro-F1","CF","DS","45","71.5095"
"Macro-F1","CF","DS","46","71.5095"
"Macro-F1","CF*","DS","42","73.042"
"Macro-F1","CF*","DS","43","73.042"
"Macro-F1","CF*","DS","44","73.042"
"Macro-F1","CF*","DS","45","73.042"
"Macro-F1","CF*","DS","46","73.042"
"Macro-F1","Face","DS","42","62.6331"
"Macro-F1","Face","DS","43","62.6331"
"Macro-F1","Face","DS","44","62.6331"
"Macro-F1","Face","DS","45","62.6331"
"Macro-F1","Face","DS","46","62.6331"
"Macro-F1","LabelMe","DS","42","78.8088"
"Macro-F1","LabelMe","DS","43","78.8088"
"Macro-F1","LabelMe","DS","44","78.8088"
"Macro-F1","LabelMe","DS","45","78.8088"
"Macro-F1","LabelMe","DS","46","78.8088"
"Macro-F1","MS","DS","42","76.6519"
"Macro-F1","MS","DS","43","76.6519"
"Macro-F1","MS","DS","44","76.6519"
"Macro-F1","MS","DS","45","76.6519"
"Macro-F1","MS","DS","46","76.6519"
"Macro-F1","Possent","DS","42","95.9755"
"Macro-F1","Possent","DS","43","95.9755"
"Macro-F1","Possent","DS","44","95.9755"
"Macro-F1","Possent","DS","45","95.9755"
"Macro-F1","Possent","DS","46","95.9755"
"Macro-F1","RTE","DS","42","92.7471"
"Macro-F1","RTE","DS","43","92.7471"
"Macro-F1","RTE","DS","44","92.7471"
"Macro-F1","RTE","DS","45","92.7471"
"Macro-F1","RTE","DS","46","92.7471"
"Macro-F1","Temp","DS","42","94.0894"
"Macro-F1","Temp","DS","43","94.0894"
"Macro-F1","Temp","DS","44","94.0894"
"Macro-F1","Temp","DS","45","94.0894"
"Macro-F1","Temp","DS","46","94.0894"
"Macro-F1","Bird","EBCC","42","85.6675"
"Macro-F1","Bird","EBCC","43","85.7582"
"Macro-F1","Bird","EBCC","44","87.7262"
"Macro-F1","Bird","EBCC","45","88.5714"
